/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1653.0393835330988, 'AlphaViD_Large': 1507.2060175985496, 'AlphaVDA_Large': 1270.4821035298694, 'AlphaViT_Small': 1753.0909814208367, 'AlphaViD_Small': 1753.7244763506153, 'AlphaVDA_Small': 1754.7884494269235, 'AlphaViT_Multi': 1621.5218673703505, 'AlphaViD_Multi': 1409.1377388605283, 'AlphaVDA_Multi': 1204.5801777884603, 'AlphaZero': 1786.8150705176758, 'Minimax': 1362.2925186642487, 'MCTS100': 1360.9193538805944, 'MCTS400': 1644.8644831320137, 'random': 917.5373779262347}

{'AlphaViT_Large': 1645.7303279164657, 'AlphaViD_Large': 1520.717955716799, 'AlphaVDA_Large': 1280.2094347643808, 'AlphaViT_Small': 1755.7982966705943, 'AlphaViD_Small': 1752.3961373829386, 'AlphaVDA_Small': 1751.1050760344372, 'AlphaViT_Multi': 1628.9878380214225, 'AlphaViD_Multi': 1398.0519044609916, 'AlphaVDA_Multi': 1184.7783475617157, 'AlphaZero': 1794.5306746467372, 'Minimax': 1357.6631721438623, 'MCTS100': 1377.6806266162625, 'MCTS400': 1640.19830651388, 'random': 912.1519015495122}

{'AlphaViT_Large': 1655.3271375392135, 'AlphaViD_Large': 1512.7170899574032, 'AlphaVDA_Large': 1277.6463191486505, 'AlphaViT_Small': 1755.0632574505207, 'AlphaViD_Small': 1755.7880551103417, 'AlphaVDA_Small': 1751.4026291018386, 'AlphaViT_Multi': 1634.9120886255218, 'AlphaViD_Multi': 1404.1008348838845, 'AlphaVDA_Multi': 1178.7966572851044, 'AlphaZero': 1793.59551413881, 'Minimax': 1367.8461295498362, 'MCTS100': 1357.9611767261597, 'MCTS400': 1643.7695390511624, 'random': 911.073571431552}

{'AlphaViT_Large': 1655.8993031071439, 'AlphaViD_Large': 1522.4009204225822, 'AlphaVDA_Large': 1286.7445481921472, 'AlphaViT_Small': 1750.6066253831505, 'AlphaViD_Small': 1758.5211633488202, 'AlphaVDA_Small': 1751.687373475404, 'AlphaViT_Multi': 1650.2840198303152, 'AlphaViD_Multi': 1376.0614763606454, 'AlphaVDA_Multi': 1188.1450275075613, 'AlphaZero': 1800.465218918901, 'Minimax': 1361.7241532678686, 'MCTS100': 1359.1293410828828, 'MCTS400': 1636.2510271572505, 'random': 902.079801945326}

{'AlphaViT_Large': 1664.4346683503506, 'AlphaViD_Large': 1513.8782362321929, 'AlphaVDA_Large': 1283.3231100953292, 'AlphaViT_Small': 1754.4417189122626, 'AlphaViD_Small': 1757.4287106663978, 'AlphaVDA_Small': 1744.4729124629812, 'AlphaViT_Multi': 1644.2515109694764, 'AlphaViD_Multi': 1397.0934043055406, 'AlphaVDA_Multi': 1193.0989956329736, 'AlphaZero': 1802.7412552300545, 'Minimax': 1359.5218370914965, 'MCTS100': 1350.7127564860627, 'MCTS400': 1633.3567727597092, 'random': 901.2441108051707}

{'AlphaViT_Large': 1663.7825266283194, 'AlphaViD_Large': 1510.2950989906176, 'AlphaVDA_Large': 1280.9469118739466, 'AlphaViT_Small': 1754.188513079162, 'AlphaViD_Small': 1760.036617249517, 'AlphaVDA_Small': 1764.2489661884158, 'AlphaViT_Multi': 1636.0631039288737, 'AlphaViD_Multi': 1410.0948229666742, 'AlphaVDA_Multi': 1189.4450248440792, 'AlphaZero': 1800.4506175608622, 'Minimax': 1362.109342086902, 'MCTS100': 1369.1120059839175, 'MCTS400': 1606.5041325140119, 'random': 892.7223161046999}

{'AlphaViT_Large': 1648.009635447416, 'AlphaViD_Large': 1511.7234814123246, 'AlphaVDA_Large': 1267.0476888358892, 'AlphaViT_Small': 1757.4064056142504, 'AlphaViD_Small': 1762.1083631441948, 'AlphaVDA_Small': 1762.0284506584758, 'AlphaViT_Multi': 1640.6337646300713, 'AlphaViD_Multi': 1424.7926575594984, 'AlphaVDA_Multi': 1197.6409969669232, 'AlphaZero': 1810.0017095282003, 'Minimax': 1350.2484462145133, 'MCTS100': 1359.0939990932116, 'MCTS400': 1620.7779841849936, 'random': 888.4864167100366}

{'AlphaViT_Large': 1654.5003235477823, 'AlphaViD_Large': 1527.6332010213926, 'AlphaVDA_Large': 1252.4002130812316, 'AlphaViT_Small': 1756.1033338266454, 'AlphaViD_Small': 1756.4349819343447, 'AlphaVDA_Small': 1760.2325349869664, 'AlphaViT_Multi': 1647.8857668925373, 'AlphaViD_Multi': 1422.3359359815418, 'AlphaVDA_Multi': 1203.8962199323912, 'AlphaZero': 1796.0940161478684, 'Minimax': 1368.707531943226, 'MCTS100': 1351.1991164922515, 'MCTS400': 1622.1193220673438, 'random': 880.4575021444759}

{'AlphaViT_Large': 1651.5768680667293, 'AlphaViD_Large': 1519.4770103036292, 'AlphaVDA_Large': 1244.1398081949126, 'AlphaViT_Small': 1755.8634437165965, 'AlphaViD_Small': 1759.8695169851696, 'AlphaVDA_Small': 1755.58615324429, 'AlphaViT_Multi': 1645.9674253833239, 'AlphaViD_Multi': 1427.394016779517, 'AlphaVDA_Multi': 1209.859433079646, 'AlphaZero': 1802.8411467009923, 'Minimax': 1358.1792068790191, 'MCTS100': 1366.4132513524894, 'MCTS400': 1626.0666327697418, 'random': 876.7660865439419}

{'AlphaViT_Large': 1654.0710850759456, 'AlphaViD_Large': 1531.1123368209987, 'AlphaVDA_Large': 1251.3239879266034, 'AlphaViT_Small': 1759.0274365066414, 'AlphaViD_Small': 1773.2473833203317, 'AlphaVDA_Small': 1759.175934548927, 'AlphaViT_Multi': 1640.93774499572, 'AlphaViD_Multi': 1417.0585903975764, 'AlphaVDA_Multi': 1199.2375467458896, 'AlphaZero': 1794.19509828542, 'Minimax': 1350.0938931344403, 'MCTS100': 1371.836818236755, 'MCTS400': 1629.3706385376236, 'random': 869.3115054671262}

{'AlphaViT_Large': 1641.2181675718841, 'AlphaViD_Large': 1539.602830299997, 'AlphaVDA_Large': 1257.959221425601, 'AlphaViT_Small': 1761.9601847462748, 'AlphaViD_Small': 1780.9763426628983, 'AlphaVDA_Small': 1762.0399683156274, 'AlphaViT_Multi': 1645.7268521951958, 'AlphaViD_Multi': 1405.074567670094, 'AlphaVDA_Multi': 1194.3531174339728, 'AlphaZero': 1794.3445680983157, 'Minimax': 1353.9108687134908, 'MCTS100': 1364.3451138426017, 'MCTS400': 1632.5791370683783, 'random': 865.909059955668}

